State,1789,1793,1803,1813,1823,1833,1843,1853,1863,1873,1883,1893,1903,1913,1933,1943,1953,1963,1973,1983,1993,2003,2013
Total,65,105,142,182,213,240,223,234,241,292,325,356,386,435,435,435,435,435,435,435,435,435,435
AL,0,0,0,0,3,5,7,7,6,8,8,9,9,10,9,9,9,8,7,7,7,7,7
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,8,9
AR,0,0,0,0,0,0,1,2,3,4,5,6,7,7,7,7,6,4,4,4,4,4,4
CA,0,0,0,0,0,0,0,2,3,4,6,7,8,11,20,23,30,38,43,45,52,53,53
CO,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,4,4,5,6,6,7,7
CT,5,7,7,7,6,6,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,5,5
DE,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FL,0,0,0,0,0,0,0,1,1,2,2,2,3,4,5,6,8,12,15,19,23,25,27
GA,3,2,4,6,7,9,8,8,7,9,10,11,11,12,10,10,10,10,10,10,11,13,14
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ID,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2
IL,0,0,0,0,1,3,7,9,14,19,20,22,25,27,27,26,25,24,24,22,20,19,18
IN,0,0,0,0,3,7,10,11,11,13,13,13,13,13,12,11,11,11,11,10,10,9,9
IA,0,0,0,0,0,0,0,2,6,9,11,11,11,11,9,8,8,7,6,6,5,5,4
KS,0,0,0,0,0,0,0,0,1,3,7,8,8,8,7,6,6,5,5,5,4,4,4
KY,0,2,6,10,12,13,10,10,9,10,11,11,11,11,9,9,8,7,7,7,6,6,6
LA,0,0,0,1,3,3,4,4,5,6,6,6,7,8,8,8,8,8,8,8,7,7,6
ME,0,0,0,0,7,8,7,6,5,5,4,4,4,4,3,3,3,2,2,2,2,2,2
MD,6,8,9,9,9,8,6,6,5,6,6,6,6,6,6,6,7,8,8,8,8,8,8
MA,8,14,17,20,13,12,10,11,10,11,12,13,14,16,15,14,14,12,12,11,10,10,9
MI,0,0,0,0,0,0,3,4,6,9,11,12,12,13,17,17,18,19,19,18,16,15,14
MN,0,0,0,0,0,0,0,0,2,3,5,7,9,10,9,9,9,8,8,8,8,8,8
MS,0,0,0,0,1,2,4,5,5,6,7,7,8,8,7,7,6,5,5,5,5,4,4
MO,0,0,0,0,1,2,5,7,9,13,14,15,16,16,13,13,11,10,10,9,9,9,8
MT,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,1,1,1
NE,0,0,0,0,0,0,0,0,0,1,3,6,6,6,5,4,4,3,3,3,3,3,3
NV,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,4
NH,3,4,5,6,6,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
NJ,4,5,6,6,6,6,5,5,5,7,7,8,10,12,14,14,14,15,15,14,13,13,12
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3
NY,6,10,17,27,34,40,34,33,31,33,34,34,37,43,45,45,43,41,39,34,31,29,27
NC,5,10,12,13,13,13,9,8,7,8,9,9,10,10,11,12,12,11,11,11,12,13,13
ND,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,2,1,1,1,1,1
OH,0,0,1,6,14,19,21,21,19,20,21,21,21,22,24,23,23,24,23,21,19,18,16
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,6,6,6,6,6,5,5
OR,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,4,5,5,5,5
PA,8,13,18,23,26,28,24,25,24,27,28,30,32,36,34,33,30,27,25,23,21,19,18
RI,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
SC,5,6,8,9,9,9,7,6,4,5,7,7,7,7,6,6,6,6,6,6,6,6,7
SD,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,2,2,1,1,1,1
TN,0,0,3,6,9,13,11,10,8,10,10,10,10,10,9,10,9,9,8,9,9,9,9
TX,0,0,0,0,0,0,0,2,4,6,11,13,16,18,21,21,22,23,24,27,30,32,36
UT,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,4
VT,0,2,4,6,5,5,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
VA,10,19,22,23,22,21,15,13,11,9,10,10,10,10,9,9,10,10,10,10,11,11,11
WA,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,6,7,7,7,8,9,9,10
WV,0,0,0,0,0,0,0,0,0,3,4,4,5,6,6,6,6,5,4,4,3,3,3
WI,0,0,0,0,0,0,0,3,6,8,9,10,11,11,10,10,10,10,9,9,9,8,8
WY,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
