year,state,electoral_votes,Margin of Victory,Margin of Victory text,Partisan Lean,Partisan Lean text
1976,AL,9,13.112398,D+13.1,10.874252,D+10.9
1976,AK,3,-22.251444,R+22.3,-24.489590,R+24.5
1976,AZ,6,-16.566158,R+16.6,-18.804303,R+18.8
1976,AR,6,30.057392,D+30.1,27.819246,D+27.8
1976,CA,45,-1.793492,R+1.8,-4.031638,R+4.0
1976,CO,7,-11.417832,R+11.4,-13.655978,R+13.7
1976,CT,8,-5.147744,R+5.1,-7.385889,R+7.4
1976,DE,3,5.381468,D+5.4,3.143323,D+3.1
1976,DC,3,65.121720,D+65.1,62.883574,D+62.9
1976,FL,17,5.283672,D+5.3,3.045526,D+3.0
1976,GA,12,33.876590,D+33.9,31.638444,D+31.6
1976,HI,4,2.530716,D+2.5,0.292570,D+0.3
1976,ID,4,-22.761724,R+22.8,-24.999869,R+25.0
1976,IL,26,-1.969253,R+2.0,-4.207399,R+4.2
1976,IN,13,-7.622361,R+7.6,-9.860506,R+9.9
1976,IA,8,-1.010941,R+1.0,-3.249087,R+3.2
1976,KS,7,-7.551431,R+7.6,-9.789576,R+9.8
1976,KY,9,7.185501,D+7.2,4.947355,D+4.9
1976,LA,10,5.786753,D+5.8,3.548607,D+3.5
1976,ME,4,-0.836701,R+0.8,-3.074847,R+3.1
1976,MD,10,6.070840,D+6.1,3.832694,D+3.8
1976,MA,14,15.669869,D+15.7,13.431723,D+13.4
1976,MI,21,-5.395677,R+5.4,-7.633823,R+7.6
1976,MN,10,12.874558,D+12.9,10.636412,D+10.6
1976,MS,7,1.884850,D+1.9,-0.353296,R+0.4
1976,MO,12,3.631450,D+3.6,1.393304,D+1.4
1976,MT,4,-7.435799,R+7.4,-9.673945,R+9.7
1976,NE,5,-20.754216,R+20.8,-22.992362,R+23.0
1976,NV,3,-4.356139,R+4.4,-6.594285,R+6.6
1976,NH,4,-11.274133,R+11.3,-13.512279,R+13.5
1976,NJ,17,-2.157426,R+2.2,-4.395572,R+4.4
1976,NM,4,-2.465494,R+2.5,-4.703639,R+4.7
1976,NY,41,6.272279,D+6.3,4.034133,D+4.0
1976,NC,13,11.049785,D+11.0,8.811639,D+8.8
1976,ND,3,-5.921805,R+5.9,-8.159951,R+8.2
1976,OH,25,0.227055,D+0.2,-2.011091,R+2.0
1976,OK,8,-1.214556,R+1.2,-3.452702,R+3.5
1976,OR,6,-0.166331,R+0.2,-2.404476,R+2.4
1976,PA,27,2.663464,D+2.7,0.425318,D+0.4
1976,RI,4,11.297810,D+11.3,9.059664,D+9.1
1976,SC,8,13.040147,D+13.0,10.802001,D+10.8
1976,SD,4,-1.475665,R+1.5,-3.713811,R+3.7
1976,TN,10,12.998985,D+13.0,10.760840,D+10.8
1976,TX,26,3.168533,D+3.2,0.930388,D+0.9
1976,UT,4,-28.786552,R+28.8,-31.024698,R+31.0
1976,VT,3,-12.283173,R+12.3,-14.521318,R+14.5
1976,VA,12,-1.335106,R+1.3,-3.573252,R+3.6
1976,WA,9,-3.883490,R+3.9,-6.121635,R+6.1
1976,WV,6,16.139037,D+16.1,13.900892,D+13.9
1976,WI,11,1.677266,D+1.7,-0.560879,R+0.6
1976,WY,3,-19.494317,R+19.5,-21.732463,R+21.7
1980,AL,9,-1.301261,R+1.3,8.134563,D+8.1
1980,AK,3,-27.940295,R+27.9,-18.504470,R+18.5
1980,AZ,6,-32.364165,R+32.4,-22.928340,R+22.9
1980,AR,6,-0.611642,R+0.6,8.824183,D+8.8
1980,CA,45,-16.778066,R+16.8,-7.342242,R+7.3
1980,CO,7,-23.998902,R+24.0,-14.563078,R+14.6
1980,CT,8,-9.633751,R+9.6,-0.197927,R+0.2
1980,DE,3,-2.332943,R+2.3,7.102881,D+7.1
1980,DC,3,61.486350,D+61.5,70.922175,D+70.9
1980,FL,17,-17.018943,R+17.0,-7.583118,R+7.6
1980,GA,12,14.828799,D+14.8,24.264623,D+24.3
1980,HI,4,1.901499,D+1.9,11.337324,D+11.3
1980,ID,4,-41.265251,R+41.3,-31.829427,R+31.8
1980,IL,26,-7.929645,R+7.9,1.506180,D+1.5
1980,IN,13,-18.352049,R+18.4,-8.916225,R+8.9
1980,IA,8,-12.700839,R+12.7,-3.265014,R+3.3
1980,KS,7,-24.562485,R+24.6,-15.126661,R+15.1
1980,KY,9,-1.378252,R+1.4,8.057573,D+8.1
1980,LA,10,-5.450116,R+5.5,3.985709,D+4.0
1980,ME,4,-3.355188,R+3.4,6.080637,D+6.1
1980,MD,10,2.957164,D+3.0,12.392989,D+12.4
1980,MA,14,-0.151698,R+0.2,9.284126,D+9.3
1980,MI,21,-6.488768,R+6.5,2.947056,D+2.9
